priority,status,url_or_slug,page_type,primary_query,secondary_queries,why_now,core_angle,proof_needed,how_to_sprinkle_advaic,internal_links
P0,refresh,/best-ai-tools-immobilienmakler,comparison_hub,"ki tools für immobilienmakler","ki für immobilienmakler; tools für immobilienmakler; makler tools","Highest-impression page in current export and already getting tested by Google","Turn it into a real comparison page with named categories, price ranges, best-for matrix, method, author and update date","Methodik box; author box; tool-category matrix; screenshots of approvals/QA/verlauf","One intro mention, one table row, one fit box, one not-fit box, one low-page CTA","/best-software-immobilienanfragen;/advaic-vs-crm-tools;/immobilienanfragen-automatisieren;/produkt"
P0,new,/maklersoftware-vergleich,comparison_hub,"immobilienmakler software testsieger","beste maklersoftware; beste software für immobilienmakler; test maklersoftware","Directly aligned to strongest software-comparison queries in GSC","Create the category-defining page for office-size fit, vendor classes, pricing logic and evaluation criteria","Named-vendor matrix; selection methodology; pricing bands; screenshots or evidence notes","Only in dedicated sections: where Advaic fits for request execution and where it does not replace CRM","/crm-fuer-immobilienmakler;/tools-fuer-immobilienmakler;/advaic-vs-crm-tools;/produkt"
P0,new,/crm-fuer-immobilienmakler,category_guide,"crm immobilienmakler","crm für immobilienmakler; immobilienmakler crm; makler crm; crm software immobilienmakler","CRM cluster is one of the three dominant demand buckets in the export","Explain what a Makler-CRM should solve, where CRM ends, and when a specialist workflow layer is needed","CRM-vs-workflow table; office-size scenarios; integration checklist; hosting/compliance notes","Position Advaic as complement, never as fake CRM replacement","/advaic-vs-crm-tools;/integrationen;/integrationen/outlook;/integrationen/gmail"
P0,new,/tools-fuer-immobilienmakler,category_guide,"tools für immobilienmakler","makler tools; maklertools; tools für makler; immobilien tools","Largest impression cluster overall from current non-brand queries","Organize the market into categories Maklersoftware/CRM, Anfrage-Workflows, Expose, Imaging, Calls, Marketing","Category map; budget ranges; best-for by office maturity; examples","Mention Advaic only in the request-handling category and nowhere else","/best-ai-tools-immobilienmakler;/crm-fuer-immobilienmakler;/maklersoftware-vergleich;/branchen"
P0,new,/anfragenmanagement-immobilienmakler,workflow_guide,"anfragenmanagement immobilienmakler","immobilienanfragen; immobilienanfragen automatisieren; lead management immobilienmakler","Closest helpful page to Advaic's actual product authority","Teach the end-to-end process from inbox intake to qualification, approval, sending, follow-up and logging","Annotated flow; KPI set; real example messages; approval reasons; screenshots","Use Advaic as one concrete example after process education, not as the page itself","/immobilienanfragen-automatisieren;/freigabe-inbox;/qualitaetschecks;/follow-up-logik"
P0,refresh,/best-software-immobilienanfragen,comparison_guide,"software für immobilienanfragen","immobilienanfragen software; request automation software; email automatisierung immobilienmakler","Already indexed and getting impressions, but intent fit is too shallow","Make it a real buyer guide for request-handling software instead of a soft landing page","Weighted criteria; category comparison; not-fit conditions; decision checklist","One neutral comparison row, one fit box and one CTA after the checklist","/best-ai-tools-immobilienmakler;/anfragenmanagement-immobilienmakler;/manuell-vs-advaic;/produkt"
P1,new,/follow-up-emails-immobilienmakler,workflow_guide,"follow up immobilienmakler","follow up emails immobilienmakler; immobilienanfragen nachfassen","Strong adjacent pain point with good AI Search potential and direct product adjacency","Show when follow-up helps, when it hurts, and what rules should stop automation","Follow-up timing matrix; stop rules; sample sequences; exception list","Advaic mention only in the rule-engine section and final CTA","/follow-up-logik;/autopilot-regeln;/qualitaetschecks;/immobilienanfragen-automatisieren"
P1,new,/antwortzeit-immobilienanfragen,benchmark_guide,"antwortzeit immobilienanfragen","speed to lead immobilien; reaktionszeit immobilienmakler","Useful benchmark topic for both SEO and sales readiness","Turn response-time theory into a practical Makler benchmark and ops checklist","Benchmark citations; calculator example; inbox workflow screenshots","Mention Advaic as one operational path to lower response time, not as the thesis","/roi-rechner;/anfragenmanagement-immobilienmakler;/email-automatisierung-immobilienmakler"
P1,new,/dsgvo-ki-immobilienmakler,compliance_guide,"dsgvo ki immobilienmakler","dsgvo email automatisierung makler; avv ki makler","High-trust topic in Germany and close to purchase objections","Explain lawful use, AVV, hosting, review paths, and where human approval matters","Primary-source citations; process map; checklist; data-flow diagram","Advaic mention only as an example of approval-first design and auditability","/sicherheit;/einwaende/dsgvo;/unterauftragsverarbeiter;/cookie-und-storage"
P1,new,/ki-kompetenz-immobilienmakler,compliance_guide,"ki kompetenz immobilienmakler","ai act makler; ki verordnung immobilienmakler","Growing adjacent demand after AI Act obligations","Explain what AI literacy means for Makler teams and how to operationalize it","AI literacy checklist; roles and responsibilities; training topics","Advaic mention only as a workflow where competence and controls matter","/sicherheit;/so-funktionierts;/faq"
P1,refresh,/advaic-vs-crm-tools,comparison_page,"advaic vs crm","crm vs automation makler; crm oder workflow","Page already has early traction and can become a stronger bridge page","Make the complement-vs-replacement distinction much harder and more evidence-backed","Integration examples; office-size examples; implementation sequences","Advaic is central here, but must still include strong non-fit statements","/crm-fuer-immobilienmakler;/produkt;/integrationen;/best-software-immobilienanfragen"
P1,refresh,/immobilienanfragen-automatisieren,guide,"immobilienanfragen automatisieren","automatisierung immobilienmakler; email automatisierung immobilienmakler","Direct fit page with room for better process depth and examples","Make it the best practical implementation guide instead of a softer overview","Before/after workflow; safe-start rollout; sample rules; KPI section","Mention Advaic as implementation example backed by screenshots and rules","/anfragenmanagement-immobilienmakler;/autopilot-regeln;/freigabe-inbox;/qualitaetschecks"
P2,new,/makler-prozesse-automatisieren,industry_guide,"makler prozesse automatisieren","prozessautomatisierung immobilienmakler; workflow maklerbüro","Useful broader cluster page once core categories are stronger","Cover 5-7 workflow classes and rank them by ROI and implementation effort","ROI matrix; time-saved examples; process map","Advaic appears only in the communication/request workflow row","/ki-fuer-immobilienmakler;/immobilienanfragen-automatisieren;/roi-rechner"
P2,new,/maklersoftware-kosten,pricing_guide,"maklersoftware kosten","crm immobilienmakler kosten; software makler preis","Strong commercial-intent support page for comparison hub","Explain typical price models, hidden costs, implementation cost and office-size fit","Pricing table; onboarding effort estimates; support model notes","Advaic mention only as one pricing model within a broader market table","/maklersoftware-vergleich;/crm-fuer-immobilienmakler;/preise"
P2,new,/methodik-software-vergleiche,methodology,"maklersoftware vergleich methodik","softwarevergleich kriterien; tool auswahl makler","Supports trust for all review and comparison pages","Document how Advaic evaluates categories, criteria, evidence and updates","Methodology schema; weighting model; update log","Advaic mention only as publisher and reviewer, not as the answer","/maklersoftware-vergleich;/best-ai-tools-immobilienmakler;/best-software-immobilienanfragen"
